,article_id,image_file_path_x,is_rgb_x,max_ratio_x,num_high_ratios_x,proportion_high_ratio_pixels_x,mean_delta_x,euclidean_distance_metric_x,image_file_path_y,is_rgb_y,max_ratio_y,num_high_ratios_y,proportion_high_ratio_pixels_y,mean_delta_y,euclidean_distance_metric_y
288,13571,Images/13571/elife-13571-fig1-v3.jpg,1,80.84122885085313,65.0,0.021723716381418,0.0868222520923154,33.54101966249684,Images/13571/elife-13571-fig2-v3.jpg,1,10.714124501949271,56.0,0.0280255255255255,0.0777931159944193,18.027756377319943
289,13571,Images/13571/elife-13571-fig1-v3.jpg,1,80.84122885085313,65.0,0.021723716381418,0.0868222520923154,33.54101966249684,Images/13571/elife-13571-fig9-v3.jpg,1,10.455774943698186,227.0,0.163419384057971,0.0757151408049204,21.860022573334675
290,18126,Images/18126/elife-18126-fig6-v2.jpg,1,63.168279962471374,92.0,0.1076527777777777,0.1032350610814608,13.601470508735444,Images/18126/elife-18126-fig4-v2.jpg,1,14.047315418297709,147.0,0.1647992351816443,0.2036100095797036,13.92838827718412
291,45002,Images/45002/elife-45002-fig6-v2.jpg,1,25.050953097364825,87.0,0.0642760942760942,0.0531618165317618,10.198039027185567,Images/45002/elife-45002-fig2-v2.jpg,1,10.965431217702005,36.0,0.0367777777777777,0.0106032486675226,11.180339887498947
292,4581,Images/04581/elife-04581-fig6-v2.jpg,1,66.92763526255777,113.0,0.0231460674157303,0.0240355812418035,1.0,Images/04581/elife-04581-fig7-v2.jpg,1,10.63394155688242,110.0,0.0883333333333333,0.0387026716346051,13.9596457860059
293,58097,Images/58097/elife-58097-fig6-v2.jpg,1,75.78397205049933,199.0,0.0612464985994397,0.0517478844676022,7.76316057025792,Images/58097/elife-58097-fig9-v2.jpg,1,10.134960170000973,37.0,0.0208843537414965,0.0301606549268192,23.51456767361772
294,30058,Images/30058/elife-30058-fig8-v2.jpg,1,18.480409899281504,13.0,0.0065273631840796,0.0284930003799432,22.47220505424423,Images/30058/elife-30058-fig6-v2.jpg,1,10.242805647435736,4.0,0.0014393939393939,0.022479776612913,35.63691338615557
295,592,Images/00592/elife-00592-fig9-v1.jpg,1,37.558648410369,50.0,0.0135185185185185,0.03535917581221,26.92582403567252,Images/00592/elife-00592-fig7-v1.jpg,1,6.158892076813284,3.0,0.0001212121212121212,0.0113478097248891,8.905124837953327
296,43996,Images/43996/elife-43996-fig6-v2.jpg,1,68.03751718290385,136.0,0.0571111111111111,0.2179122741105981,22.079329583361947,Images/43996/elife-43996-fig5-v2.jpg,1,10.759454017490212,57.0,0.0804100529100529,0.0553472987570997,14.560219778561036
297,50598,Images/50598/elife-50598-fig2-v2.jpg,1,39.86161571077845,49.0,0.0436095238095238,0.1120585128898753,8.06225774829855,Images/50598/elife-50598-fig7-v2.jpg,1,10.009207514580453,72.0,0.0449654218533886,0.0161647957401866,4.73606797749979
